PID,Fraud,DeductibleAmt,AmtReimbursed,CountOfCID,AvgAmtReimb,AvgAmtDed,CountOfBene,AvgReimbPerBene,AvgDedPerBene,AvgAge
PRV51115,No,20,980,7,140,3,6,163,3,73
PRV51117,No,0,1950,12,163,0,10,195,0,69
PRV51118,No,14952,136000,16,8500,935,16,8500,935,68
PRV51119,Yes,96985,1080580,95,11375,1021,81,13340,1197,75
PRV51120,No,7476,52000,7,7429,1068,7,7429,1068,61
PRV51121,No,6408,81080,7,11583,915,7,11583,915,67
PRV51122,No,0,1120,7,160,0,7,160,0,67
PRV51123,No,2176,26910,31,868,70,28,961,78,69
PRV51125,No,13096,131310,48,2736,273,32,4103,409,71
PRV51126,Yes,21360,177000,20,8850,1068,14,12643,1526,70
PRV51128,No,5340,102220,50,2044,107,38,2690,141,69
PRV51129,No,480,22920,96,239,5,65,353,7,74
PRV51130,No,0,4970,7,710,0,7,710,0,62
PRV51131,No,70,1160,8,145,9,8,145,9,75
PRV51132,No,1068,5330,8,666,134,6,888,178,75
PRV51134,No,80,7610,15,507,5,12,634,7,64
PRV51135,No,0,300,5,60,0,2,150,0,68
PRV51136,No,1068,20000,1,20000,1068,1,20000,1068,71
PRV51137,No,1348,16050,55,292,25,51,315,26,73
PRV51138,No,1068,13430,26,517,41,21,640,51,73
PRV51139,No,7516,52580,43,1223,175,42,1252,179,75
PRV51140,No,50418,453130,487,930,104,394,1150,128,73
PRV51141,No,170,19490,71,275,2,37,527,5,75
PRV51142,No,7536,104570,51,2050,148,38,2752,198,73
PRV51143,No,350,20450,77,266,5,68,301,5,73
PRV51144,No,4492,61220,30,2041,150,29,2111,155,77
PRV51145,Yes,166748,1606350,202,7952,825,161,9977,1036,74
PRV51146,Yes,171670,1680910,352,4775,488,334,5033,514,75
PRV51147,No,210,8860,32,277,7,32,277,7,72
PRV51148,Yes,36294,488660,330,1481,110,263,1858,138,74
PRV51149,Yes,123958,1120680,148,7572,838,136,8240,911,72
PRV51151,No,23298,201300,233,864,100,225,895,104,74
PRV51152,No,500,25770,83,310,6,39,661,13,74
PRV51153,No,4902,71490,87,822,56,83,861,59,73
PRV51154,No,790,45750,161,284,5,147,311,5,75
PRV51155,No,160,26330,115,229,1,110,239,1,73
PRV51156,No,1720,140640,542,259,3,425,331,4,74
PRV51159,Yes,70450,797790,569,1402,124,506,1577,139,75
PRV51160,No,96140,872020,114,7649,843,110,7927,874,74
PRV51164,No,44548,556980,391,1425,114,334,1668,133,74
PRV51165,No,28088,329700,98,3364,287,97,3399,290,76
PRV51166,No,1068,24870,5,4974,214,5,4974,214,72
PRV51167,No,410,51980,190,274,2,182,286,2,75
PRV51168,No,9782,80470,87,925,112,86,936,114,74
PRV51169,No,50,19380,77,252,1,74,262,1,75
PRV51170,Yes,8544,145820,16,9114,534,16,9114,534,73
PRV51171,No,200,13820,59,234,3,59,234,3,73
PRV51173,Yes,7676,96290,22,4377,349,21,4585,366,74
PRV51175,No,90,9650,41,235,2,39,247,2,72
PRV51176,No,870,145980,445,328,2,399,366,2,73
PRV51178,Yes,36602,431180,65,6634,563,64,6737,572,72
PRV51179,No,0,5000,26,192,0,26,192,0,71
PRV51180,No,2416,94240,129,731,19,86,1096,28,74
PRV51181,No,0,2150,10,215,0,10,215,0,78
PRV51183,No,42790,355790,113,3149,379,105,3388,408,74
PRV51185,No,0,1590,8,199,0,8,199,0,74
PRV51186,No,0,100,2,50,0,2,50,0,75
PRV51189,No,240,8740,56,156,4,51,171,5,74
PRV51190,No,3534,39310,66,596,54,64,614,55,74
PRV51191,No,90,10990,32,343,3,30,366,3,72
PRV51194,No,2136,18540,9,2060,237,9,2060,237,73
PRV51196,No,1750,197060,720,274,2,432,456,4,75
PRV51198,No,30,360,6,60,5,3,120,10,80
PRV51200,No,0,4420,19,233,0,16,276,0,71
PRV51201,No,50,10660,45,237,1,41,260,1,74
PRV51202,No,0,5010,12,418,0,12,418,0,71
PRV51203,No,80,15340,21,730,4,20,767,4,67
PRV51204,No,600,155180,499,311,1,398,390,2,73
PRV51205,No,70,4660,10,466,7,10,466,7,75
PRV51206,No,0,1560,10,156,0,10,156,0,75
PRV51207,No,3204,51000,3,17000,1068,3,17000,1068,70
PRV51209,No,170,9910,42,236,4,38,261,4,74
PRV51210,No,0,2890,9,321,0,9,321,0,81
PRV51211,No,0,100,2,50,0,2,50,0,72
PRV51212,No,70,6260,15,417,5,15,417,5,72
PRV51213,No,0,50,2,25,0,2,25,0,74
PRV51214,No,0,3200,8,400,0,8,400,0,71
PRV51215,No,0,1610,10,161,0,10,161,0,82
PRV51216,No,570,15560,71,219,8,66,236,9,74
PRV51217,No,0,2930,5,586,0,5,586,0,71
PRV51218,No,0,520,7,74,0,7,74,0,63
PRV51219,No,0,5330,8,666,0,8,666,0,72
PRV51221,No,0,70,1,70,0,1,70,0,80
PRV51222,No,0,860,5,172,0,3,287,0,76
PRV51224,No,0,3130,7,447,0,7,447,0,77
PRV51225,No,0,1190,8,149,0,8,149,0,74
PRV51226,No,270,7430,20,372,14,19,391,14,76
PRV51228,No,70,430,5,86,14,5,86,14,70
PRV51229,No,110,12410,47,264,2,44,282,3,73
PRV51230,No,0,12490,30,416,0,30,416,0,71
PRV51231,No,2136,16000,2,8000,1068,2,8000,1068,70
PRV51232,No,1068,26000,1,26000,1068,1,26000,1068,90
PRV51233,No,3204,27000,3,9000,1068,3,9000,1068,68
PRV51234,No,5340,29000,5,5800,1068,5,5800,1068,72
PRV51235,No,2136,10000,2,5000,1068,2,5000,1068,55
PRV51236,No,1068,12000,1,12000,1068,1,12000,1068,36
PRV51237,No,1068,19000,1,19000,1068,1,19000,1068,91
PRV51238,No,4272,132000,8,16500,534,8,16500,534,75
PRV51239,No,1068,5000,1,5000,1068,1,5000,1068,82
PRV51240,No,11788,94020,60,1567,196,38,2474,310,71
PRV51241,No,9772,90210,60,1504,163,47,1919,208,74
PRV51242,Yes,11100,117200,111,1056,100,87,1347,128,73
PRV51243,No,270,6330,36,176,8,15,422,18,79
PRV51244,Yes,211918,2153990,1415,1522,150,659,3269,322,72
PRV51245,No,3894,83630,173,483,23,58,1442,67,70
PRV51247,No,9722,76240,34,2242,286,26,2932,374,75
PRV51248,No,1068,23500,2,11750,534,2,11750,534,84
PRV51249,Yes,51474,521330,126,4138,409,101,5162,510,74
PRV51250,No,280,22560,85,265,3,71,318,4,71
PRV51251,No,0,3590,11,326,0,10,359,0,72
PRV51252,No,18356,154930,87,1781,211,76,2039,242,70
PRV51253,No,300,21740,85,256,4,76,286,4,72
PRV51255,No,2196,40570,74,548,30,62,654,35,73
PRV51256,No,0,38550,95,406,0,80,482,0,72
PRV51258,No,8744,99660,14,7119,625,12,8305,729,77
PRV51259,No,4272,151960,21,7236,203,19,7998,225,77
PRV51260,No,3204,92390,62,1490,52,55,1680,58,69
PRV51261,No,27120,270170,142,1903,191,123,2197,220,73
PRV51262,No,40,16270,60,271,1,52,313,1,74
PRV51263,Yes,19294,218170,44,4958,439,37,5896,521,72
PRV51264,No,120,5270,39,135,3,35,151,3,74
PRV51265,No,750,45770,160,286,5,84,545,9,69
PRV51266,No,9762,102900,92,1118,106,82,1255,119,75
PRV51267,No,2166,12870,14,919,155,14,919,155,77
PRV51271,No,2336,43180,123,351,19,90,480,26,73
PRV51272,No,2756,50760,79,643,35,31,1637,89,74
PRV51273,No,1400,131340,553,238,3,387,339,4,73
PRV51274,No,10740,175720,58,3030,185,48,3661,224,75
PRV51276,No,15272,133980,67,2000,228,60,2233,255,69
PRV51277,No,10920,141190,59,2393,185,54,2615,202,73
PRV51279,No,750,59840,224,267,3,186,322,4,71
PRV51280,No,0,20250,39,519,0,34,596,0,76
PRV51281,No,690,89470,259,345,3,200,447,3,72
PRV51282,No,8624,77330,59,1311,146,51,1516,169,73
PRV51284,No,18058,279860,377,742,48,223,1255,81,72
PRV51285,No,16530,196120,168,1167,98,109,1799,152,74
PRV51286,No,16330,145170,70,2074,233,62,2341,263,77
PRV51287,No,100,25700,78,329,1,46,559,2,77
PRV51288,No,3204,37360,8,4670,401,8,4670,401,74
PRV51289,No,240,46300,92,503,3,38,1218,6,72
PRV51290,No,260,14990,113,133,2,81,185,3,75
PRV51292,No,0,3970,22,180,0,16,248,0,69
PRV51293,No,20,21200,88,241,0,64,331,0,72
PRV51295,No,0,1950,7,279,0,6,325,0,65
PRV51296,No,3284,38630,30,1288,109,27,1431,122,76
PRV51297,No,5410,77090,70,1101,77,46,1676,118,73
PRV51298,No,550,31120,100,311,6,53,587,10,72
PRV51299,No,30,6230,37,168,1,27,231,1,68
PRV51300,No,7636,107540,52,2068,147,32,3361,239,72
PRV51301,No,6718,136910,112,1222,60,63,2173,107,71
PRV51302,No,10750,80710,43,1877,250,34,2374,316,69
PRV51303,No,510,36110,93,388,5,49,737,10,73
PRV51304,No,2306,39350,51,772,45,39,1009,59,74
PRV51305,No,11748,113400,49,2314,240,29,3910,405,73
PRV51306,No,100,3700,17,218,6,13,285,8,75
PRV51307,No,80,6940,37,188,2,21,330,4,75
PRV51308,No,130,13790,35,394,4,31,445,4,69
PRV51309,No,0,3790,18,211,0,17,223,0,75
PRV51311,No,3204,16010,21,762,153,18,889,178,74
PRV51312,No,4272,28790,46,626,93,29,993,147,73
PRV51313,No,90,4970,19,262,5,16,311,6,67
PRV51314,No,0,6460,30,215,0,20,323,0,72
PRV51315,No,340,7210,47,153,7,22,328,15,72
PRV51316,No,3204,21000,3,7000,1068,3,7000,1068,80
PRV51318,No,3204,13000,3,4333,1068,3,4333,1068,79
PRV51322,No,0,850,12,71,0,11,77,0,70
PRV51323,No,320,20860,76,274,4,32,652,10,71
PRV51324,No,0,9330,28,333,0,25,373,0,71
PRV51325,No,0,15140,15,1009,0,5,3028,0,70
PRV51326,No,90,14000,44,318,2,22,636,4,70
PRV51327,No,150,8990,41,219,4,27,333,6,76
PRV51328,No,0,550,7,79,0,5,110,0,70
PRV51329,No,240,19360,74,262,3,28,691,9,68
PRV51330,No,20,3810,19,201,1,9,423,2,78
PRV51331,No,40,320,5,64,8,4,80,10,73
PRV51334,No,2136,15000,2,7500,1068,2,7500,1068,58
PRV51335,No,400,46080,142,325,3,92,501,4,78
PRV51336,No,10700,129450,69,1876,155,69,1876,155,72
PRV51337,Yes,41952,379100,168,2257,250,155,2446,271,74
PRV51338,Yes,7926,113860,128,890,62,124,918,64,76
PRV51340,No,10,43210,151,286,0,141,306,0,76
PRV51341,No,70,14530,71,205,1,70,208,1,74
PRV51342,No,29366,356780,207,1724,142,179,1993,164,75
PRV51344,No,2136,26250,33,795,65,33,795,65,74
PRV51345,No,220,15120,49,309,4,47,322,5,73
PRV51346,No,5820,104490,266,393,22,246,425,24,74
PRV51347,Yes,5090,596900,2067,289,2,947,630,5,74
PRV51348,No,20442,152330,55,2770,372,54,2821,379,75
PRV51349,No,5410,40480,30,1349,180,28,1446,193,77
PRV51350,No,23218,213380,239,893,97,232,920,100,76
PRV51351,No,0,10840,32,339,0,32,339,0,77
PRV51352,No,0,5900,4,1475,0,4,1475,0,85
PRV51353,No,5390,51210,18,2845,299,17,3012,317,71
PRV51354,No,0,10440,4,2610,0,4,2610,0,74
PRV51355,No,16250,145060,74,1960,220,69,2102,236,75
PRV51356,No,17258,187800,95,1977,182,91,2064,190,74
PRV51357,Yes,12936,205130,161,1274,80,149,1377,87,73
PRV51358,No,7536,61210,17,3601,443,17,3601,443,80
PRV51360,No,9762,94230,29,3249,337,29,3249,337,71
PRV51361,No,130,7870,32,246,4,32,246,4,81
PRV51362,No,6408,151320,44,3439,146,44,3439,146,78
PRV51363,No,0,150,3,50,0,3,50,0,79
PRV51364,No,6508,55830,23,2427,283,23,2427,283,72
PRV51366,No,180,18340,57,322,3,53,346,3,70
PRV51368,No,60,570,4,143,15,4,143,15,71
PRV51369,Yes,6280,601910,2083,289,3,963,625,7,74
PRV51371,No,11798,93130,46,2025,256,45,2070,262,75
PRV51376,No,90,19420,51,381,2,48,405,2,75
PRV51377,No,3634,123950,95,1305,38,94,1319,39,74
PRV51378,Yes,112180,1215370,161,7549,697,133,9138,843,74
PRV51379,No,2156,19340,22,879,98,22,879,98,72
PRV51380,No,4272,51560,8,6445,534,8,6445,534,76
PRV51382,No,90,6840,16,428,6,16,428,6,73
PRV51383,No,9712,108490,77,1409,126,77,1409,126,73
PRV51386,No,1330,99320,382,260,3,274,362,5,75
PRV51387,No,13904,114420,59,1939,236,51,2244,273,74
PRV51388,No,15222,191010,86,2221,177,81,2358,188,70
PRV51389,No,19284,153470,79,1943,244,77,1993,250,73
PRV51390,Yes,173186,1607260,275,5845,630,253,6353,685,74
PRV51391,No,13086,144400,177,816,74,166,870,79,74
PRV51392,No,50,1660,17,98,3,15,111,3,78
PRV51393,Yes,71430,906370,910,996,78,329,2755,217,76
PRV51394,No,0,460,4,115,0,4,115,0,73
PRV51395,No,0,10400,20,520,0,20,520,0,72
PRV51396,No,3204,17520,44,398,73,43,407,75,74
PRV51397,No,0,17870,40,447,0,40,447,0,76
PRV51398,No,1238,31040,86,361,14,59,526,21,76
PRV51399,Yes,69448,845070,211,4005,329,199,4247,349,73
PRV51401,Yes,7626,91520,42,2179,182,42,2179,182,71
PRV51403,No,11150,277010,114,2430,98,101,2743,110,75
PRV51404,No,1368,29350,59,497,23,59,497,23,73
PRV51405,No,2136,23710,49,484,44,47,504,45,72
PRV51406,No,7476,104260,29,3595,258,29,3595,258,73
PRV51408,No,0,1390,15,93,0,15,93,0,77
PRV51409,No,0,300,4,75,0,4,75,0,60
PRV51410,Yes,1920,177550,628,283,3,186,955,10,76
PRV51412,No,0,440,5,88,0,5,88,0,86
PRV51414,No,3204,30230,28,1080,114,28,1080,114,72
PRV51415,No,7546,63690,51,1249,148,50,1274,151,73
PRV51416,No,280,25640,81,317,3,79,325,4,73
PRV51418,No,18486,189340,61,3104,303,61,3104,303,72
PRV51419,No,2196,31250,65,481,34,64,488,34,76
PRV51421,Yes,88804,884780,139,6365,639,135,6554,658,74
PRV51422,No,4382,48930,25,1957,175,25,1957,175,76
PRV51423,No,100,50,1,50,100,1,50,100,99
PRV51424,No,1348,29670,86,345,16,82,362,16,74
PRV51425,No,3204,25990,33,788,97,33,788,97,73
PRV51426,Yes,6968,145100,206,704,34,91,1595,77,73
PRV51427,No,5510,58770,58,1013,95,56,1049,98,73
PRV51428,No,4352,48040,66,728,66,66,728,66,76
PRV51429,No,0,1100,10,110,0,10,110,0,67
PRV51430,No,17648,213700,112,1908,158,101,2116,175,76
PRV51431,No,25932,236720,49,4831,529,42,5636,617,77
PRV51432,No,7616,59270,23,2577,331,23,2577,331,72
PRV51433,Yes,4670,454630,1610,282,3,862,527,5,74
PRV51434,Yes,24844,280490,102,2750,244,97,2892,256,74
PRV51435,No,6408,33620,23,1462,279,23,1462,279,78
PRV51436,No,27170,193410,120,1612,226,116,1667,234,76
PRV51437,No,0,880,2,440,0,2,440,0,76
PRV51438,No,2136,19510,9,2168,237,9,2168,237,74
PRV51439,No,210,15040,42,358,5,41,367,5,77
PRV51440,No,6508,106380,71,1498,92,71,1498,92,78
PRV51441,No,290,29130,85,343,3,79,369,4,75
PRV51442,No,2136,25970,6,4328,356,6,4328,356,78
PRV51443,No,2426,33900,73,464,33,72,471,34,73
PRV51444,No,4272,73920,42,1760,102,40,1848,107,73
PRV51446,No,11748,97390,24,4058,490,24,4058,490,72
PRV51447,Yes,17318,269390,89,3027,195,80,3367,216,74
PRV51448,No,11748,115550,51,2266,230,47,2459,250,74
PRV51449,No,8544,69780,17,4105,503,17,4105,503,73
PRV51451,No,0,1170,6,195,0,6,195,0,72
PRV51453,No,100,7080,12,590,8,12,590,8,77
PRV51454,No,140,10630,34,313,4,32,332,4,78
PRV51455,No,9662,113650,34,3343,284,34,3343,284,73
PRV51456,No,117480,1038990,135,7696,870,124,8379,947,75
PRV51458,No,240,12440,56,222,4,55,226,4,75
PRV51459,Yes,22790,2321890,8240,282,3,2857,813,8,75
PRV51460,No,19346,334480,452,740,43,413,810,47,74
PRV51462,No,0,9430,30,314,0,29,325,0,77
PRV51464,No,320,38530,145,266,2,143,269,2,75
PRV51465,No,1068,3900,7,557,153,7,557,153,69
PRV51466,No,5500,57860,74,782,74,71,815,77,77
PRV51467,No,6408,74260,25,2970,256,25,2970,256,73
PRV51468,No,15252,138670,159,872,96,151,918,101,74
PRV51469,No,0,9350,28,334,0,28,334,0,76
PRV51470,No,3204,35590,27,1318,119,27,1318,119,73
PRV51471,Yes,166608,1602210,180,8901,926,173,9261,963,74
PRV51472,No,200,2170,16,136,13,16,136,13,75
PRV51474,No,42790,411260,71,5792,603,65,6327,658,71
PRV51475,No,11788,73130,43,1701,274,42,1741,281,73
PRV51476,No,3274,20180,18,1121,182,18,1121,182,74
PRV51477,No,0,9940,22,452,0,22,452,0,73
PRV51478,No,20,3930,17,231,1,16,246,1,72
PRV51479,No,14524,134630,228,590,64,217,620,67,74
PRV51480,Yes,5480,557880,1924,290,3,759,735,7,74
PRV51482,Yes,11848,218470,91,2401,130,90,2427,132,76
PRV51483,No,5430,60400,77,784,71,75,805,72,75
PRV51484,No,2236,23570,86,274,26,75,314,30,73
PRV51486,No,450,53660,214,251,2,132,407,3,77
PRV51487,No,60,9240,13,711,5,12,770,5,73
PRV51488,No,3764,108930,272,400,14,260,419,14,75
PRV51490,Yes,51264,442070,64,6907,801,56,7894,915,73
PRV51491,No,7736,67480,71,950,109,63,1071,123,74
PRV51492,No,14024,150550,81,1859,173,80,1882,175,75
PRV51494,No,80,17450,38,459,2,37,472,2,75
PRV51495,Yes,93984,845690,141,5998,667,127,6659,740,75
PRV51496,No,530,29250,123,238,4,105,279,5,72
PRV51497,No,4272,104190,15,6946,285,15,6946,285,75
PRV51499,No,3336,137840,474,291,7,341,404,10,75
PRV51500,No,10,1100,8,138,1,8,138,1,78
PRV51501,Yes,231816,2071310,233,8890,995,217,9545,1068,76
PRV51502,No,0,8390,31,271,0,31,271,0,76
PRV51503,No,40,24070,57,422,1,52,463,1,76
PRV51504,No,440,35290,128,276,3,123,287,4,75
PRV51505,No,40,2430,15,162,3,15,162,3,74
PRV51507,Yes,9188,337340,1013,333,9,726,465,13,73
PRV51508,No,12916,239050,202,1183,64,191,1252,68,72
PRV51509,No,2840,322130,1030,313,3,493,653,6,74
PRV51510,No,220,20020,57,351,4,52,385,4,71
PRV51511,No,40,8760,16,548,3,16,548,3,75
PRV51514,No,22458,239220,93,2572,241,88,2718,255,77
PRV51515,No,4352,52800,48,1100,91,48,1100,91,73
PRV51516,No,3224,33260,40,832,81,39,853,83,68
PRV51517,No,150,5990,11,545,14,11,545,14,76
PRV51518,No,5860,43920,53,829,111,48,915,122,77
PRV51521,No,100,8070,46,175,2,39,207,3,72
PRV51522,No,13506,206780,190,1088,71,169,1224,80,73
PRV51523,No,61944,733810,65,11289,953,65,11289,953,75
PRV51525,No,5470,75770,61,1242,90,61,1242,90,74
PRV51526,No,7476,43150,20,2158,374,20,2158,374,75
PRV51527,No,120,12410,41,303,3,40,310,3,73
PRV51528,No,0,6670,17,392,0,17,392,0,75
PRV51529,No,80,5800,23,252,3,23,252,3,77
PRV51531,No,140,9870,34,290,4,23,429,6,73
PRV51532,No,6608,70930,32,2217,207,30,2364,220,73
PRV51533,No,13884,96350,36,2676,386,36,2676,386,75
PRV51534,No,0,50,1,50,0,1,50,0,76
PRV51535,No,3476,121350,388,313,9,306,397,11,75
PRV51536,No,4392,41550,16,2597,275,16,2597,275,75
PRV51539,Yes,73844,854240,538,1588,137,488,1750,151,74
PRV51540,No,7546,66940,55,1217,137,54,1240,140,76
PRV51541,No,270,12140,51,238,5,51,238,5,73
PRV51542,Yes,97218,964660,113,8537,860,97,9945,1002,74
PRV51544,No,45546,480150,233,2061,195,227,2115,201,76
PRV51546,No,9762,110930,36,3081,271,35,3169,279,73
PRV51547,No,0,2640,13,203,0,13,203,0,77
PRV51549,No,8614,82110,21,3910,410,21,3910,410,75
PRV51550,No,16120,124040,61,2033,264,53,2340,304,76
PRV51551,No,5440,112800,28,4029,194,27,4178,201,71
PRV51552,No,10970,94040,62,1517,177,62,1517,177,73
PRV51553,No,6408,40990,21,1952,305,21,1952,305,76
PRV51554,No,1138,9640,6,1607,190,6,1607,190,79
PRV51555,No,0,2910,15,194,0,15,194,0,79
PRV51556,No,10680,138250,56,2469,191,56,2469,191,75
PRV51557,No,1068,16740,10,1674,107,10,1674,107,81
PRV51558,No,5440,25870,26,995,209,25,1035,218,73
PRV51560,Yes,208260,1956190,238,8219,875,204,9589,1021,76
PRV51562,No,80,5820,24,243,3,24,243,3,74
PRV51563,No,0,4280,19,225,0,19,225,0,76
PRV51564,No,70,9100,24,379,3,24,379,3,71
PRV51566,No,16020,90030,26,3463,616,25,3601,641,73
PRV51567,Yes,4620,465400,1632,285,3,827,563,6,74
PRV51568,No,9612,105010,58,1811,166,57,1842,169,77
PRV51569,No,0,1500,5,300,0,5,300,0,78
PRV51570,No,0,0,1,0,0,1,0,0,71
PRV51571,No,0,4640,22,211,0,22,211,0,73
PRV51572,No,1068,5710,4,1428,267,4,1428,267,76
PRV51573,No,5380,66730,92,725,58,76,878,71,73
PRV51574,Yes,12290,1281810,4444,288,3,1715,747,7,74
PRV51576,No,5770,97780,65,1504,89,65,1504,89,75
PRV51577,No,0,2100,1,2100,0,1,2100,0,64
PRV51578,Yes,131150,1662920,1500,1109,87,1280,1299,102,74
PRV51579,No,19494,247680,72,3440,271,66,3753,295,77
PRV51580,No,0,1710,3,570,0,3,570,0,75
PRV51582,No,1068,14370,4,3593,267,4,3593,267,78
PRV51583,No,2226,32430,47,690,47,46,705,48,74
PRV51584,Yes,14254,171930,82,2097,174,78,2204,183,73
PRV51585,No,4272,77080,6,12847,712,6,12847,712,72
PRV51586,Yes,6408,72510,8,9064,801,8,9064,801,70
PRV51587,No,0,1500,5,300,0,5,300,0,67
PRV51588,No,3204,58430,10,5843,320,9,6492,356,67
PRV51590,Yes,84372,781380,84,9302,1004,82,9529,1029,76
PRV51592,No,0,30,3,10,0,3,10,0,72
PRV51593,Yes,12916,150000,54,2778,239,54,2778,239,75
PRV51595,No,1078,14660,24,611,45,22,666,49,79
PRV51596,No,3484,41830,50,837,70,50,837,70,74
PRV51598,No,65200,779530,422,1847,155,399,1954,163,75
PRV51599,No,3204,16210,5,3242,641,5,3242,641,79
PRV51600,No,3754,36050,109,331,34,103,350,36,73
PRV51601,No,0,3690,14,264,0,14,264,0,70
PRV51602,No,12816,77480,39,1987,329,38,2039,337,76
PRV51604,Yes,53622,697510,329,2120,163,257,2714,209,74
